iter	Passed	Remaining
0	58	58363
1	59	29624
2	60	20058
3	61	15230
4	61	12332
5	62	10395
6	63	9041
7	64	8001
8	65	7195
9	66	6551
10	67	6024
11	67	5580
12	68	5206
13	69	4882
14	70	4600
15	70	4350
16	71	4137
17	72	3948
18	73	3774
19	73	3620
20	74	3479
21	75	3349
22	76	3229
23	76	3121
24	77	3026
25	78	2932
26	79	2854
27	79	2773
28	80	2696
29	81	2624
30	81	2559
31	82	2499
32	83	2447
33	84	2393
34	85	2344
35	85	2294
36	86	2246
37	87	2203
38	87	2161
39	88	2126
40	89	2090
41	89	2051
42	90	2018
43	91	1987
44	92	1958
45	92	1928
46	93	1900
47	94	1873
48	95	1847
49	95	1821
50	96	1795
51	97	1775
52	98	1753
53	98	1729
54	99	1706
55	99	1684
56	100	1664
57	101	1645
58	102	1627
59	102	1608
60	103	1591
61	104	1575
62	104	1558
63	105	1542
64	106	1527
65	106	1512
66	107	1497
67	108	1483
68	108	1470
69	109	1456
70	110	1445
71	111	1433
72	111	1420
73	112	1409
74	113	1397
75	113	1385
76	114	1373
77	115	1364
78	116	1354
79	116	1345
80	117	1335
81	118	1325
82	119	1315
83	119	1306
84	120	1298
85	121	1289
86	121	1280
87	122	1271
88	123	1263
89	124	1256
90	125	1248
91	125	1240
92	126	1233
93	127	1225
94	127	1216
95	128	1210
96	129	1203
97	129	1196
98	130	1189
99	131	1182
100	132	1177
101	133	1171
102	133	1164
103	134	1157
104	135	1151
105	135	1145
106	136	1139
107	137	1133
108	137	1128
109	138	1122
110	139	1116
111	140	1111
112	140	1105
113	141	1101
114	142	1097
115	143	1092
116	144	1087
117	144	1081
118	145	1076
119	146	1071
120	146	1066
121	147	1061
122	148	1057
123	149	1052
124	149	1049
125	150	1044
126	151	1039
127	151	1035
128	152	1030
129	153	1025
130	153	1019
131	154	1015
132	155	1011
133	155	1007
134	156	1000
135	156	996
136	157	993
137	158	989
138	159	986
139	159	982
140	160	979
141	161	975
142	162	971
143	162	967
144	163	964
145	164	961
146	165	957
147	165	954
148	166	951
149	167	947
150	167	943
151	168	940
152	169	937
153	169	933
154	170	930
155	171	927
156	172	924
157	172	921
158	173	917
159	174	915
160	175	912
161	175	910
162	176	906
163	177	904
164	178	901
165	178	898
166	179	895
167	180	892
168	180	889
169	181	886
170	182	883
171	183	881
172	183	878
173	184	876
174	185	873
175	186	871
176	186	868
177	187	865
178	188	863
179	188	860
180	189	858
181	190	855
182	191	853
183	191	851
184	192	848
185	193	845
186	193	843
187	194	840
188	195	838
189	196	836
190	196	834
191	197	832
192	198	829
193	199	828
194	199	825
195	200	822
196	201	820
197	202	818
198	202	816
199	203	814
200	204	811
201	204	809
202	205	807
203	206	805
204	207	803
205	207	801
206	208	799
207	209	797
208	210	795
209	210	792
210	211	790
211	212	789
212	212	786
213	213	785
214	214	782
215	215	780
216	216	779
217	216	777
218	217	775
219	218	773
220	218	771
221	219	770
222	220	768
223	221	766
224	221	764
225	222	762
226	223	760
227	224	758
228	224	756
229	225	755
230	226	753
231	226	751
232	227	749
233	228	747
234	229	746
235	230	744
236	230	742
237	231	740
238	232	738
239	232	737
240	233	735
241	234	733
242	234	732
243	235	730
244	236	728
245	237	727
246	238	725
247	238	723
248	239	722
249	240	720
250	240	718
251	241	717
252	242	716
253	243	714
254	243	712
255	244	711
256	245	710
257	246	708
258	247	707
259	248	706
260	248	704
261	249	702
262	250	700
263	250	699
264	251	697
265	252	696
266	252	694
267	253	692
268	254	691
269	255	689
270	255	688
271	256	686
272	257	685
273	258	683
274	258	682
275	259	680
276	260	679
277	261	678
278	261	676
279	262	675
280	263	674
281	264	673
282	265	671
283	265	670
284	266	668
285	267	666
286	267	665
287	268	663
288	269	662
289	270	661
290	270	659
291	271	658
292	272	656
293	273	655
294	273	654
295	274	652
296	275	651
297	275	649
298	276	648
299	277	646
300	277	645
301	278	643
302	279	642
303	279	640
304	280	639
305	281	638
306	282	637
307	282	635
308	283	634
309	284	632
310	284	631
311	285	629
312	286	628
313	287	627
314	287	625
315	288	624
316	289	623
317	289	621
318	290	620
319	291	619
320	291	617
321	292	616
322	293	614
323	294	613
324	294	612
325	295	610
326	296	609
327	296	608
328	297	606
329	298	605
330	298	603
331	299	602
332	300	601
333	300	600
334	301	598
335	302	597
336	303	596
337	303	595
338	304	593
339	305	592
340	306	591
341	306	590
342	307	588
343	308	588
344	309	586
345	309	585
346	310	584
347	311	583
348	312	582
349	312	581
350	313	579
351	314	578
352	315	577
353	315	576
354	316	574
355	317	573
356	317	572
357	318	571
358	319	569
359	319	568
360	320	567
361	321	565
362	321	564
363	322	563
364	323	562
365	324	561
366	324	560
367	325	559
368	326	557
369	327	556
370	327	555
371	328	554
372	329	553
373	329	552
374	330	550
375	331	549
376	331	548
377	332	547
378	333	546
379	334	545
380	334	544
381	335	543
382	336	542
383	337	541
384	338	540
385	338	539
386	339	537
387	340	536
388	340	535
389	341	534
390	342	533
391	342	531
392	343	530
393	344	529
394	345	528
395	346	527
396	346	526
397	347	525
398	348	524
399	348	523
400	349	522
401	350	521
402	351	520
403	351	518
404	352	517
405	353	516
406	353	515
407	354	514
408	355	513
409	356	512
410	356	511
411	357	510
412	358	509
413	359	508
414	360	507
415	360	506
416	361	505
417	362	504
418	362	503
419	363	502
420	364	501
421	365	499
422	365	498
423	366	497
424	367	496
425	368	496
426	368	495
427	369	494
428	370	492
429	371	491
430	371	490
431	372	489
432	373	488
433	373	487
434	374	486
435	375	485
436	375	484
437	376	483
438	377	482
439	378	481
440	378	480
441	379	478
442	380	478
443	380	476
444	381	475
445	382	474
446	383	473
447	383	473
448	384	471
449	385	470
450	386	470
451	386	468
452	387	467
453	388	467
454	389	466
455	389	465
456	390	463
457	391	462
458	391	461
459	392	460
460	393	459
461	393	458
462	394	457
463	395	456
464	395	455
465	396	454
466	397	453
467	398	452
468	398	451
469	399	450
470	400	449
471	400	448
472	401	447
473	402	446
474	402	445
475	403	444
476	404	443
477	404	442
478	405	440
479	406	440
480	406	439
481	407	438
482	408	437
483	408	436
484	409	435
485	410	434
486	411	433
487	411	432
488	412	431
489	413	430
490	414	429
491	414	428
492	415	427
493	416	426
494	417	425
495	417	424
496	418	423
497	419	422
498	420	421
499	420	420
500	421	419
501	422	419
502	423	418
503	423	417
504	424	416
505	425	415
506	425	414
507	426	413
508	427	412
509	428	411
510	429	410
511	429	409
512	430	408
513	431	407
514	431	406
515	432	405
516	433	404
517	433	403
518	434	402
519	435	401
520	436	400
521	436	399
522	437	399
523	438	398
524	438	397
525	439	396
526	440	395
527	441	394
528	441	393
529	442	392
530	443	391
531	444	390
532	444	389
533	445	388
534	446	387
535	446	386
536	447	385
537	448	384
538	448	384
539	449	383
540	450	382
541	450	380
542	451	380
543	452	379
544	453	378
545	454	377
546	454	376
547	455	375
548	456	374
549	457	373
550	457	373
551	458	372
552	459	371
553	459	370
554	460	369
555	461	368
556	462	367
557	462	366
558	463	365
559	464	364
560	465	363
561	465	362
562	467	362
563	467	361
564	468	360
565	469	359
566	470	359
567	470	358
568	471	357
569	472	356
570	473	355
571	473	354
572	474	353
573	475	352
574	475	351
575	476	350
576	477	349
577	477	348
578	478	348
579	479	347
580	480	346
581	480	345
582	481	344
583	482	343
584	483	342
585	483	341
586	484	340
587	485	339
588	485	338
589	486	338
590	487	337
591	488	336
592	489	335
593	489	334
594	490	333
595	491	332
596	491	332
597	492	331
598	493	330
599	494	329
600	495	328
601	495	327
602	496	326
603	497	325
604	497	324
605	498	324
606	499	323
607	499	322
608	500	321
609	500	320
610	501	319
611	502	318
612	503	317
613	504	316
614	504	316
615	505	315
616	506	314
617	507	313
618	507	312
619	508	311
620	508	310
621	509	309
622	510	308
623	511	307
624	511	307
625	512	306
626	512	305
627	513	304
628	514	303
629	514	302
630	515	301
631	516	300
632	517	299
633	517	298
634	518	298
635	519	297
636	520	296
637	521	295
638	521	294
639	522	293
640	523	293
641	523	292
642	524	291
643	525	290
644	525	289
645	526	288
646	527	287
647	528	286
648	528	286
649	529	285
650	530	284
651	531	283
652	531	282
653	532	281
654	533	280
655	533	280
656	534	279
657	536	278
658	537	277
659	537	277
660	538	276
661	539	275
662	539	274
663	540	273
664	541	272
665	542	271
666	542	270
667	543	270
668	544	269
669	544	268
670	545	267
671	546	266
672	546	265
673	547	264
674	548	264
675	549	263
676	549	262
677	550	261
678	551	260
679	551	259
680	552	258
681	553	257
682	553	257
683	554	256
684	555	255
685	556	254
686	556	253
687	557	252
688	558	251
689	558	251
690	559	250
691	560	249
692	561	248
693	561	247
694	562	246
695	563	245
696	563	245
697	564	244
698	565	243
699	566	242
700	566	241
701	567	240
702	568	240
703	569	239
704	569	238
705	570	237
706	571	236
707	571	235
708	572	235
709	573	234
710	574	233
711	574	232
712	575	231
713	576	230
714	577	230
715	577	229
716	578	228
717	579	227
718	580	226
719	580	225
720	581	225
721	582	224
722	583	223
723	583	222
724	584	221
725	585	220
726	585	220
727	586	219
728	587	218
729	588	217
730	588	216
731	589	215
732	590	215
733	591	214
734	591	213
735	592	212
736	593	211
737	593	210
738	594	209
739	595	209
740	595	208
741	596	207
742	597	206
743	598	205
744	598	204
745	599	204
746	600	203
747	601	202
748	601	201
749	602	200
750	603	200
751	603	199
752	604	198
753	605	197
754	606	196
755	606	195
756	607	195
757	608	194
758	608	193
759	609	192
760	610	191
761	611	190
762	612	190
763	612	189
764	613	188
765	614	187
766	614	186
767	615	185
768	616	185
769	616	184
770	617	183
771	618	182
772	619	181
773	619	181
774	620	180
775	621	179
776	622	178
777	623	177
778	623	177
779	624	176
780	625	175
781	626	174
782	626	173
783	627	172
784	628	172
785	629	171
786	629	170
787	630	169
788	631	168
789	631	167
790	632	167
791	633	166
792	634	165
